Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-2702.889	-3323.19	620.3008	1.744943	1.296642	0.7394708	3.591003
6	-2703.692	-3324.302	620.6102	1.744943	1.252939	0.7394708	3.431812
12	-2705.577	-3324.085	618.5087	1.462327	1.960706	0.8274308	4.452232
18	-2703.438	-3322.662	619.2243	1.574518	2.27395	0.537018	4.103877
24	-2705.511	-3325.026	619.5146	1.67635	1.599052	0.8209576	3.895767
30	-2689.042	-3308.545	619.5033	1.622369	1.780264	0.7735361	3.895767
36	-2687.8	-3307.096	619.2955	1.622369	1.730737	0.6588991	4.116777
42	-2699.255	-3320.49	621.2352	1.871861	1.405222	0.7091107	2.935599
48	-2691.771	-3313.13	621.3587	1.879343	1.758145	0.6274227	2.771682
54	-2678.366	-3298.06	619.6936	1.616129	1.978485	0.8214156	3.686725
60	-2671.325	-3291.438	620.1131	1.664871	1.775349	0.5899528	3.662477
66	-2675.873	-3296.435	620.5623	1.702949	1.816176	0.5899528	3.363194
72	-2677.332	-3297.588	620.2552	1.799228	2.153552	0.5717076	3.385795
78	-2671.433	-3291.357	619.924	1.487573	1.419449	0.6178697	3.993563
84	-2688.223	-3307.978	619.7554	1.590484	1.504478	0.6205568	3.992508
90	-2700.79	-3321.818	621.0278	1.850002	1.304423	0.8737198	3.003588
96	-2685.55	-3306.323	620.7729	1.850002	1.838142	0.7655105	3.003588
102	-2673.316	-3293.379	620.0631	1.676404	1.850548	0.7049367	3.565177
108	-2669.885	-3289.457	619.5728	1.638495	1.778709	0.7163892	3.887996
114	-2680.022	-3299.678	619.6563	1.561085	1.566635	0.7495298	3.942661
120	-2673.594	-3293.689	620.0952	1.663293	1.625994	0.6704254	3.665931
126	-2687.303	-3306.465	619.1622	1.685929	1.625994	0.9132164	4.022452
132	-2678.282	-3297.708	619.4266	1.599183	1.625994	0.758108	4.022452
138	-2670.972	-3291.477	620.5054	1.658199	1.965061	0.5448699	3.409296
144	-2682.889	-3302.091	619.202	1.706003	1.793603	0.7852516	4.00738
150	-2688.914	-3308.271	619.3568	1.634538	1.871	0.6804886	4.00738
156	-2700.696	-3320.366	619.67	1.518482	1.669374	0.7540672	3.915263
162	-2710.044	-3329.81	619.767	1.64711	1.500347	0.4554591	4.103908
168	-2697.452	-3317.236	619.7837	1.64711	1.637084	0.6420591	3.872754
174	-2712.855	-3333.059	620.2042	1.565307	1.400785	0.6572954	3.764851
180	-2692.75	-3312.908	620.1579	1.546841	1.583178	0.5479781	3.816039
186	-2696.922	-3318.075	621.1528	1.687498	1.529322	0.6076748	3.122579
192	-2703.603	-3323.251	619.6481	1.687498	2.314594	0.7053748	3.645782
198	-2705.811	-3325.564	619.7535	1.721623	1.718533	0.7275357	3.750609
204	-2684.042	-3303.999	619.957	1.59664	1.784261	0.6361292	3.750609
210	-2683.943	-3303.315	619.3721	1.485064	2.023923	0.6463543	4.058007
216	-2706.872	-3325.082	618.2108	1.46052	1.80105	0.6698916	4.785112
222	-2705.676	-3326.395	620.719	1.749594	1.204991	0.5974871	3.501361
228	-2695.421	-3315.863	620.4419	1.749594	1.931339	0.7585275	3.231512
234	-2689.36	-3309.225	619.8646	1.796034	1.640735	0.723182	3.67683
240	-2675.153	-3296.409	621.2559	1.75068	1.501337	0.5844341	3.055771
246	-2673.115	-3293.446	620.331	1.888433	1.501337	0.9704989	3.243559
252	-2664.721	-3284.617	619.8956	1.741774	1.505629	0.7520731	3.724684
258	-2655.332	-3275.198	619.8656	1.741774	1.813413	0.6554567	3.693447
264	-2651.728	-3271.973	620.2455	1.763252	1.965623	0.6590292	3.40259
270	-2649.631	-3269.195	619.5645	1.627438	1.717473	0.7341939	3.909003
276	-2665.922	-3285.942	620.0202	1.56685	1.237206	0.7792702	3.856416
282	-2653.513	-3272.645	619.1316	1.585561	1.515183	0.7651214	4.23782
